2115	central-connecticut-blue-devils
161	fairleigh-dickinson-knights
2341	liu-brooklyn-blackbirds
116	mount-st-mary
2523	robert-morris-colonials
2529	sacred-heart-pioneers
2597	st-francis-(bkn)-terriers
2598	st-francis-(pa)-red-flash
2681	wagner-seahawks
2046	austin-peay-governors
2057	belmont-bruins
2197	eastern-illinois-panthers
2198	eastern-kentucky-colonels
55	jacksonville-state-gamecocks
2413	morehead-state-eagles
93	murray-state-racers
2565	siu-edwardsville-cougars
2546	southeast-missouri-state-redhawks
2634	tennessee-state-tigers
2635	tennessee-tech-golden-eagles
2630	tennessee-martin-skyhawks
12	arizona-wildcats
9	arizona-state-sun-devils
25	california-golden-bears
38	colorado-buffaloes
2483	oregon-ducks
204	oregon-state-beavers
24	stanford-cardinal
26	ucla-bruins
30	usc-trojans
254	utah-utes
264	washington-huskies
265	washington-state-cougars
44	american-eagles
349	army-west-point
104	boston-university-terriers
2083	bucknell-bison
2142	colgate-raiders
107	holy-cross-crusaders
322	lafayette-leopards
2329	lehigh-mountain-hawks
2352	loyola-(md)-greyhounds
2426	navy-midshipmen
333	alabama-crimson-tide
8	arkansas-razorbacks
2	auburn-tigers
57	florida-gators
61	georgia-bulldogs
96	kentucky-wildcats
99	lsu-tigers
344	mississippi-state-bulldogs
142	missouri-tigers
145	ole-miss-rebels
2579	south-carolina-gamecocks
2633	tennessee-volunteers
245	texas-a&m-aggies
238	vanderbilt-commodores
236	chattanooga-mocs
2193	east-tennessee-state-buccaneers
231	furman-paladins
2382	mercer-bears
2535	samford-bulldogs
2643	the-citadel-bulldogs
2430	unc-greensboro-spartans
2678	vmi-keydets
2717	western-carolina-catamounts
2747	wofford-terriers
2000	abilene-christian--wildcats
2110	central-arkansas-bears
2277	houston-baptist-huskies
2916	incarnate-word-cardinals
2320	lamar-cardinals
2377	mcneese-state-cowboys
2443	new-orleans-privateers
2447	nicholls-state-colonels
2466	northwestern-state-demons
2534	sam-houston-state-bearkats
2545	southeastern-louisiana-lions
2617	stephen-f.-austin-lumberjacks
357	texas-a&m-cc-islanders
2010	alabama-a&m-bulldogs
2011	alabama-state-hornets
2016	alcorn-state-braves
2029	arkansas-pine-bluff-golden-lions
2755	grambling-state-tigers
2296	jackson-state-tigers
2400	mississippi-valley-state-delta-devils
2504	prairie-view-a&m-panthers
2582	southern-jaguars
2640	texas-southern-tigers
2172	denver-pioneers
2870	ipfw-mastodons
85	iupui-jaguars
2449	north-dakota-state-bison
2437	omaha-mavericks
198	oral-roberts-golden-eagles
233	south-dakota-coyotes
2571	south-dakota-state-jackrabbits
2710	western-illinois-leathernecks
2026	appalachian-state-mountaineers
2032	arkansas-state-red-wolves
